Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Crystal Lux CAETANO SP8 - 46484;31000;220;Crystal Lux;550;550;хром;коричневый;8;60;480;классика;E14
Люстра Crystal Lux CASA SP6 - 64373;21500;220;Crystal Lux;763;623;черный;серый;6;60;480;модерн;E14
Люстра Crystal Lux BARCELONA SP6 - 64338;38700;220;Crystal Lux;600;700;золото;белый;6;40;1800;арт-деко;G9
Люстра Crystal Lux FLAMINGO SP-PL8 CHROME - 64527;23900;220;Crystal Lux;870;650;хром;белый;8;60;900;арт-деко;E14
Люстра Crystal Lux CAETANO SP6 - 46483;22600;220;Crystal Lux;550;550;хром;коричневый;6;60;360;классика;E14
Люстра Crystal Lux ELISA WHITE SP12 - 64510;18600;220;Crystal Lux;1008;600;белый;белый;12;60;480;арт-деко;E14
Люстра Crystal Lux ELENA WHITE SP8 - 64504;17900;220;Crystal Lux;540;760;белый;белый;8;60;1800;арт-деко;E14
Люстра Crystal Lux BEST SP5 - 16198;18700;220;Crystal Lux;700;630;черный;серый;5;60;900;арт-деко;E27
Люстра Crystal Lux GLAMOUR SP-PL8 - 35808;29900;220;Crystal Lux;770;530;хром;коричневый;8;60;360;классика;E14
Люстра Crystal Lux BOLLA PL9 - 11694;22800;220;Crystal Lux;750;560;хром;белый;9;40;360;современный;E27
Люстра Crystal Lux CUENTO SP8 GOLD - 64476;28300;220;Crystal Lux;540;470;золото;золото;8;60;1800;лофт;E14
Люстра Crystal Lux ASTA SP5 - 38138;13700;220;Crystal Lux;800;550;хром;серебро;5;60;360;модерн;E14
Люстра Crystal Lux GRANADA SP10 - 43185;59100;220;Crystal Lux;750;200;хром;хром;10;60;360;хай-тек;G9
Люстра Crystal Lux FLURRY SP3 - 13496;13900;220;Crystal Lux;450;410;хром;белый;3;60;180;модерн;E27
Люстра Crystal Lux ATLAS PL4 GOLD - 64336;18900;220;Crystal Lux;380;413;золото;золото;4;60;1800;лофт;E14
Люстра Crystal Lux COVE SP8 - 41163;27300;220;Crystal Lux;750;500;хром;хром;8;60;480;классика;E14
Люстра Crystal Lux DENIS 400 - 20117;17850;220;Crystal Lux;400;180;хром;прозрачный;4;40;160;современный;E14
Люстра Crystal Lux HAUBERK SP-PL6 D45 - 13032;44900;220;Crystal Lux;450;700;никель;серебро;6;60;360;современный;E27
Люстра Crystal Lux ALEGRIA SP6 SILVER-BROWN - 64302;19600;220;Crystal Lux;664;423;серебро;серый;6;60;1800;арт-деко;E14
Люстра Crystal Lux ALMA WHITE SP-PL12+6+6 - 64315;48900;220;Crystal Lux;1551;820;хром;белый;24;60;1440;арт-деко;E14
Люстра Crystal Lux ARIA SP5 SILVER - 64327;22900;220;Crystal Lux;600;690;серебро;хром;5;60;300;арт-деко;E14
Люстра Crystal Lux ADAGIO PL8 - 64296;51640;220;Crystal Lux;880;440;золото;белый;8;60;480;арт-деко;E14
Люстра ST Luce SL799.103.09 - 77171;18830;220;ST Luce;620;150;хром;белый;9;60;36;модерн;LED
Люстра Eurosvet 10021/6 хром/прозрачный хрусталь - 39009;17040;220;Eurosvet;885;580;хром;белый;6;40;480;классика;E14
Люстра Crystal Lux CANARIA PL430 - 64365;15600;220;Crystal Lux;430;210;бронза;прозрачный;5;60;160;классика;E14
Люстра MW-Light 421014406 - 43816;36840;220;MW-Light;500;1220;белый;серебро;6;40;240;прованс;E14
Люстра Eurosvet 60066/5 белый/коричневый - 63756;11270;230;Eurosvet;575;380;белый;белый;5;40;200;прованс;E14
Люстра ST Luce SL797.103.64 - 62262;39930;220;ST Luce;500;540;хром;белый;64;40;38;хай-тек;LED
Люстра Crystal Lux ADAGIO PL5 - 46214;38500;220;Crystal Lux;635;420;золото;белый;5;60;300;арт-деко;E14
Люстра Eurosvet 10021/6 белый с золотом/прозрачный хрусталь - 39008;24300;220;Eurosvet;885;580;белый;белый;6;40;36;классика;E14
Люстра ST Luce SL796.103.48 - 77169;22450;220;ST Luce;450;1200;хром;хром;48;40;22;хай-тек;LED
Люстра Eurosvet 70043/8 белый - 64914;4680;230;Eurosvet;870;540;белый;белый;8;40;320;морской;E27
Люстра Crystal Lux ALMA WHITE SP-PL8 - 64314;34500;220;Crystal Lux;913;500;хром;белый;8;60;480;арт-деко;E14
Люстра Eurosvet 10021/8 белый с золотом/прозрачный хрусталь - 39010;14600;220;Eurosvet;885;580;белый;белый;8;40;36;классика;E14
Люстра Eurosvet 70061/5 золото - 64921;8460;230;Eurosvet;575;365;золото;белый;5;40;200;модерн;E14
Люстра Eurosvet 70045/6 хром - 64917;9630;230;Eurosvet;650;300;хром;белый;6;40;240;модерн;E14
Люстра Eurosvet 60050/8 глянцевый белый - 43955;11200;220;Eurosvet;680;410;белый;белый;8;60;480;прованс;E14
Люстра Eurosvet 89247/6+3 античная бронза - 27618;30940;220;Eurosvet;740;650;бронза;бежевый;9;60;540;кантри;E27
Люстра Eurosvet 70063/8 хром - 64923;16540;230;Eurosvet;770;200;хром;черный;8;40;320;модерн;E14
Люстра Eurosvet 6051/6+3 - 48815;15500;230;Eurosvet;800;550;бронза;белый;9;60;540;классика;E27
Люстра TK Lighting 2175 Techno - 64854;13120;230;TK Lighting;650;200;черный;черный;3;60;180;лофт;E27
Люстра Eurosvet 5211/6+3 - 27610;14920;230;Eurosvet;760;860;бронза;белый;9;60;540;классика;E27
Люстра Eurosvet 60043/6 античная бронза - 48506;12260;230;Eurosvet;560;420;бронза;белый;6;40;240;модерн;E14
Люстра TK Lighting 2173 Techno - 64853;6400;230;TK Lighting;770;320;черный;черный;1;60;320;лофт;E27
Люстра TK Lighting 2107 Wire colour - 62456;21800;230;TK Lighting;1060;590;разноцветный;разноцветный;5;60;300;модерн;E27
Люстра Eurosvet 60015/16 белый с золотом - 33736;18980;230;Eurosvet;960;610;белый;черный;16;60;960;классика;E14
Люстра Bogate's 424/3 - 64802;8200;230;Bogate's;420;420;бронза;черный;3;60;180;модерн;E14
Люстра Eurosvet 90050/3 хром - 64790;14040;230;Eurosvet;510;800;хром;прозрачный;3;24;72;классика;LED
Люстра Bogate's 423/6 - 64801;24490;230;Bogate's;600;1100;хром;белый;6;60;240;модерн;E14
Люстра Bogate's 406/10 Strotskis - 27602;80600;230;Bogate's;850;1350;бронза;черный;10;60;600;классика;E14
Люстра Eurosvet 60055/6 античная бронза - 43952;14360;230;Eurosvet;510;500;бронза;прозрачный;6;60;72;классика;E14
Люстра Eurosvet 10068/5 хром/прозрачный хрусталь Strotskis - 64878;9360;230;Eurosvet;560;420;хром;серебро;5;40;200;арт-деко;E14
Люстра Eurosvet 10064/5 белый с серебром Strotskis - 43961;21220;230;Eurosvet;580;620;серебро;черный;5;60;300;классика;E14
Люстра Bogate's 262/6 Strotskis - 48424;21370;230;Bogate's;777;413;золото;золото;6;40;240;арт-деко;E14
Люстра Bogate's 279/4 - 62450;14770;230;Bogate's;380;440;бронза;прозрачный;4;40;160;модерн;E14
Люстра Eurosvet 10082/8 хром/прозрачный хрусталь Strotskis - 64885;25490;220;Eurosvet;740;560;хром;белый;8;40;320;арт-деко;E14
Люстра Eurosvet 12075/8 белый Strotskis - 32614;31820;230;Eurosvet;770;700;белый;белый;8;60;480;классика;E14
Люстра Bogate's 281/7 Strotskis - 64872;16850;230;Bogate's;858;675;хром;черный;7;40;280;арт-деко;E14
Люстра Eurosvet 90050/1 хром - 64822;8420;230;Eurosvet;500;1000;хром;прозрачный;1;30;30;модерн;LED
Люстра Bogate's 405/8 Strotskis - 32584;41000;230;Bogate's;710;1350;серебро;прозрачный;8;60;480;классика;E14
Люстра Bogate's 231/6 Strotskis - 32579;29290;230;Bogate's;560;1150;серебро;прозрачный;6;60;360;классика;E14
Люстра Bogate's 422/5 - 64800;17870;230;Bogate's;610;450;хром;белый;5;40;200;модерн;E14
Люстра Eurosvet 90054/8 золото - 64824;15600;230;Eurosvet;730;200;золото;белый;8;64;64;модерн;LED
Люстра Eurosvet 90041/6 золото - 64820;15720;230;Eurosvet;858;90;золото;золото;6;8;48;модерн;LED
Люстра Bogate's 425/6 - 64803;14040;230;Bogate's;630;310;хром;белый;6;60;360;модерн;E14
Люстра Eurosvet 90068/5 хром - 64826;13500;230;Eurosvet;780;320;хром;хром;5;30;72;хай-тек;LED
Люстра Eurosvet 90062/2 хром - 64825;12530;230;Eurosvet;450;900;хром;прозрачный;1;36;36;модерн;LED
Люстра Eurosvet 90042/5 белый - 64788;12360;220;Eurosvet;630;340;белый;белый;5;110;110;хай-тек;LED
Люстра Eurosvet 90070/3 белый - 64828;11700;230;Eurosvet;630;800;белый;белый;3;14.67;44.01;хай-тек;LED
Люстра Eurosvet 90047/10 хром - 59404;7020;230;Eurosvet;640;820;хром;белый;10;60;60;хай-тек;LED
Люстра Eurosvet 90069/9 хром - 64827;34900;230;Eurosvet;780;320;хром;хром;9;36;93.96;хай-тек;LED
Люстра Bogate's 420/8 - 64798;25740;230;Bogate's;700;450;золото;белый;8;60;480;модерн;E14
Люстра Eurosvet 3267/8 хром/черный - 27575;16130;220;Eurosvet;630;210;хром;черный;8;60;480;арт-деко;E14
Люстра Bogate's 421/6 - 64799;11700;230;Bogate's;630;300;золото;белый;6;60;360;модерн;E14
Люстра Bogate's 418/8 Strotskis - 64795;9360;230;Bogate's;540;550;золото;черный;4;40;160;арт-деко;E14
Люстра Eurosvet 2045/5 хром/черный - 32625;11900;230;Eurosvet;440;460;хром;черный;5;60;300;классика;E14
Люстра Eurosvet 90039/5 хром - 59402;11230;230;Eurosvet;800;220;хром;белый;5;23;115;хай-тек;LED
Люстра Benetti MOD-065-6271-03/C - 53952;5630;230;Benetti;610;430;хром;белый;3;40;360;модерн;E14
Люстра Benetti CLS-008-9070-03/C - 53885;7040;230;Benetti;550;480;коричневый;белый;3;40;160;классика;E14
Люстра Bogate's 701/5 Strotskis - 32592;23000;230;Bogate's;550;820;белый;черный;5;60;300;прованс;E14
Люстра Benetti CLS-008-7070-05/C - 63778;9180;230;Benetti;550;480;белый;белый;5;40;115;классика;E14
Люстра Benetti CLS-009-6170-03/C - 53842;6720;230;Benetti;580;500;хром;белый;3;40;360;модерн;E14
Люстра Benetti CLS-011-6070-08/C - 53831;18670;230;Benetti;820;650;хром;белый;8;40;160;классика;E14
Люстра Bogate's 419/6 Strotskis - 64797;35410;230;Bogate's;620;600;хром;белый;6;60;360;арт-деко;E14
Люстра Bogate's 266/8 - 43233;36660;230;Bogate's;750;330;бронза;прозрачный;8;60;480;ретро;E27
Люстра Benetti CLS-008-9070-05/C - 53886;9180;230;Benetti;550;480;коричневый;белый;5;40;360;классика;E14
Люстра Benetti CLS-001-2200-12/C - 53871;64370;230;Benetti;850;580;бронза;белый;12;60;160;классика;E14
Люстра Benetti CLS-001-4021-08/C - 53870;21330;230;Benetti;570;420;бронза;белый;8;60;360;классика;E14
Люстра Bogate's 412/8 Strotskis - 48432;36820;230;Bogate's;720;1100;золото;прозрачный;8;60;480;классика;E14
Люстра Benetti CLS-006-9170-07/C - 43032;10080;230;Benetti;700;450;коричневый;белый;7;40;360;модерн;E14
Люстра Benetti MOD-065-6271-05/C - 53953;7910;230;Benetti;610;430;хром;белый;5;40;160;модерн;E14
Люстра Benetti CLS-011-6070-06/C - 53830;11830;230;Benetti;690;600;хром;белый;6;40;360;классика;E14
Люстра Benetti MOD-068-6881-07/C - 43088;11760;230;Benetti;780;430;хром;черный;7;40;480;модерн;E14
Люстра Benetti CLS-007-6180-05/C - 43024;10210;230;Benetti;600;480;хром;черный;5;40;360;модерн;E14
Люстра Benetti CLS-401-6081-05/C - 53846;10720;230;Benetti;650;1050;хром;черный;5;40;160;модерн;E14
Люстра Benetti CLS-010-6071-06/C - 43037;16250;230;Benetti;730;560;хром;белый;6;40;480;классика;E14
Люстра Benetti CLS-401-6081-03/C - 53849;7740;230;Benetti;555;635;хром;черный;3;40;360;модерн;E14
Люстра Benetti MOD-068-6881-05/C - 43087;7910;230;Benetti;610;430;хром;черный;5;40;360;модерн;E14
Люстра Benetti CLS-005-6071-05/C - 43042;9040;230;Benetti;550;475;хром;белый;5;40;160;классика;E14
Люстра Benetti CLS-006-6170-05/C - 43033;11470;230;Benetti;550;430;хром;белый;5;40;480;модерн;E14
Люстра Benetti CLS-005-2071-07/C - 43041;15270;230;Benetti;700;510;золото;белый;7;40;160;классика;E14
Люстра Benetti CLS-010-6071-04/C - 43036;7670;230;Benetti;730;560;хром;белый;4;40;160;модерн;E14
Люстра Benetti CLS-005-6071-07/C - 43044;9160;230;Benetti;700;510;хром;белый;7;40;160;классика;E14
Люстра Benetti CLS-011-6370-05/C - 43028;10400;230;Benetti;670;500;хром;белый;5;40;360;классика;E14
Люстра Benetti CLS-011-4370-05/C - 43026;11510;230;Benetti;670;500;бронза;белый;5;40;480;классика;E14
Люстра Benetti CLS-005-2071-05/C - 43040;9040;230;Benetti;550;475;золото;белый;5;40;360;классика;E14
Люстра Benetti CLS-001-2200-10/C - 43038;47720;230;Benetti;920;450;бронза;белый;10;60;160;классика;E14
Люстра Benetti CLS-011-4370-03/C - 43025;9480;230;Benetti;620;500;бронза;белый;3;40;360;классика;E14
Люстра Benetti CLS-007-6180-03/C - 43023;6170;230;Benetti;525;480;хром;черный;3;40;480;модерн;E14
Люстра Benetti CLS-006-6170-07/C - 43034;17000;230;Benetti;700;450;хром;белый;7;40;360;модерн;E14
Люстра Benetti CLS-009-6170-05/C - 43035;8030;230;Benetti;580;500;хром;белый;5;40;160;модерн;E14
Люстра Benetti MOD-410-8670-03/C - 43069;10140;230;Benetti;550;800;черный;белый;3;60;360;модерн;E27
Люстра Benetti MOD-065-6271-07/C - 43082;11760;230;Benetti;780;430;хром;белый;7;40;480;модерн;E14
Люстра Benetti CLS-006-9170-05/C - 43031;7360;230;Benetti;550;430;коричневый;белый;5;40;360;модерн;E14
Люстра Benetti CLS-011-6370-03/C - 43027;8550;230;Benetti;620;500;хром;белый;3;40;160;классика;E14
Люстра MW-Light 614010715 - 46833;54630;220;MW-Light;960;750;латунь;белый;15;60;900;классика;E14
Люстра Benetti MOD-068-6881-03/C - 47897;5630;230;Benetti;610;430;хром;черный;3;40;360;модерн;E14
Люстра MW-Light 101011308 - 43964;15220;220;MW-Light;550;280;серый;белый;8;40;320;модерн;E14
Люстра Benetti CLS-007-2170-05/C - 43022;10210;230;Benetti;600;480;золото;белый;5;40;160;модерн;E14
Люстра MW-Light 482014206 - 46065;19840;220;MW-Light;670;440;бронза;белый;6;40;900;классика;E14
Люстра Bogate's 246/5 Strotskis - 41111;16220;230;Bogate's;650;290;хром;белый;5;40;200;модерн;E14
Люстра MW-Light 481012812 - 51992;51600;220;MW-Light;800;910;латунь;прозрачный;12;60;320;классика;E14
Люстра Benetti CLS-007-2170-03/C - 43021;8820;230;Benetti;525;480;золото;белый;3;40;160;модерн;E14
Люстра MW-Light 101010708 - 51153;15040;230;MW-Light;700;460;хром;белый;8;40;320;модерн;E14
Люстра MW-Light 101011505 - 43965;13110;220;MW-Light;600;560;матовый никель;белый;5;40;900;модерн;E14
Люстра MW-Light 101011608 - 44639;25810;230;MW-Light;800;530;матовый никель;белый;8;40;200;модерн;E14
Люстра Chiaro 491012608 - 52049;230640;220;Chiaro;740;750;латунь;белый;8;40;320;классика;E14
Люстра Benetti MOD-060-6370-08/C - 43086;23470;230;Benetti;650;460;хром;белый;8;40;200;модерн;E14
Люстра MW-Light 101010608 - 49356;11390;230;MW-Light;670;580;хром;белый;8;40;320;модерн;E14
Люстра Benetti MOD-040-6100-03/C - 53942;7000;220;Benetti;536;1200;хром;прозрачный;3;33;900;модерн;G9
Люстра Chiaro 491012506 - 52048;130000;220;Chiaro;750;750;латунь;белый;6;40;240;классика;E14
Люстра Benetti MOD-060-6370-03/C - 43084;9430;220;Benetti;650;460;хром;белый;3;40;900;модерн;E14
Люстра Benetti MOD-060-6370-05/C - 43085;11930;230;Benetti;650;460;хром;белый;5;40;200;модерн;E14
Люстра Benetti LED-041-70-70-06/C - 63792;20180;230;Benetti;670;120;белый;белый;1;57;320;хай-тек;LED
Люстра MW-Light 101010506 - 48366;13030;220;MW-Light;600;440;хром;белый;6;40;240;модерн;E14
Люстра Benetti LED-025-6000-02/C - 43048;30000;220;Benetti;650;1200;хром;хром;1;60;900;хай-тек;LED
Люстра Benetti LED-035-9000-01/P - 53904;18000;230;Benetti;670;1200;коричневый;коричневый;1;40;320;хай-тек;LED
Люстра MW-Light 121010820 - 62659;58000;220;MW-Light;650;720;золото;прозрачный;20;40;800;модерн;E14
Люстра MW-Light 691010305 - 52454;15940;220;MW-Light;720;400;бронза;бронза;5;40;200;лофт;E27
Люстра De Markt 657011203 - 59857;23290;220;De Markt;650;290;бронза;прозрачный;3;5;15;лофт;LED
Люстра Chiaro 639012608 - 52247;77430;220;Chiaro;840;670;белый;бронза;8;60;480;классика;E14
Люстра Chiaro 639012712 - 52248;148510;220;Chiaro;970;770;белый;бронза;12;60;720;классика;E14
Люстра De Markt 657011606 - 59860;68970;220;De Markt;670;560;бронза;прозрачный;6;5;30;лофт;LED
Люстра ST Luce SL276.403.08 - 62529;26390;220;ST Luce;970;180;черный;прозрачный;8;60;480;лофт;E27
Люстра MW-Light 185010410 - 59366;41940;220;MW-Light;650;1060;коричневый;коричневый;10;40;400;этно;E14
Люстра MW-Light 386015908 - 59838;39850;220;MW-Light;740;460;хром;бежевый;8;40;320;арт-деко;E14
Люстра ST Luce SL553.502.06 - 62536;9300;220;ST Luce;400;230;хром;белый;6;6;18;модерн;LED
Люстра MW-Light 694010606 - 59846;22270;220;MW-Light;720;510;серый;черный;6;40;30;арт-деко;E14
Люстра MW-Light 663011707 - 52266;39800;220;MW-Light;450;115;золото;серый;7;7.7;53.9;хай-тек;LED
Люстра ST Luce SLE120.502.03 - 59542;4900;220;ST Luce;500;400;белый;белый;3;12;36;модерн;LED
Люстра Chiaro 498014001 - 52072;59780;220;Chiaro;750;100;хром;прозрачный;1;80;80;модерн;LED
Люстра MW-Light 185010205 - 59854;35190;220;MW-Light;460;470;коричневый;коричневый;5;40;200;этно;E14
Люстра ST Luce SL821.103.01 - 62538;9990;220;ST Luce;450;42;хром;прозрачный;1;24;24;модерн;LED
Люстра ST Luce SL276.403.14 - 62530;40650;220;ST Luce;1090;180;черный;прозрачный;14;60;840;лофт;E27
Люстра Arte lamp A8956LM-12BK - 49526;41540;220;Arte lamp;460;800;черный;коричневый;12;40;200;лофт;E14
Люстра Arte lamp A8072LM-6CC - 27888;18950;220;Arte lamp;750;14;хром;хром;6;40;80;хай-тек;E27
Люстра Arte lamp A5656LM-8WG - 49346;27190;220;Arte lamp;1090;420;белый;белый;8;40;840;модерн;E14
Люстра Arte lamp A2043SP-16BK - 49112;37980;220;Arte lamp;450;420;черный;черный;16;40;24;хай-тек;E27
Люстра Arte lamp A8811SP-12BK - 49518;15990;220;Arte lamp;750;1100;черный;хром;12;40;80;лофт;E14
Люстра Arte lamp A3025SP-11CC - 49182;19390;220;Arte lamp;460;130;хром;белый;11;5;200;модерн;G9
Люстра Arte lamp A1604PL-5BK - 49056;5280;220;Arte lamp;1090;260;черный;белый;5;40;840;модерн;E14
Люстра Arte lamp A6276LM-3AB - 49411;7790;220;Arte lamp;450;380;бронза;белый;3;60;24;классика;E27
Люстра Arte lamp A8956LM-8BK - 49528;29880;220;Arte lamp;750;730;черный;хром;8;40;80;лофт;E14
Люстра Arte lamp A9518PL-1BA - 49612;2460;220;Arte lamp;150;220;черный;белый;1;40;200;классика;E27
Люстра Arte lamp A8888LM-5GY - 49521;7950;220;Arte lamp;1090;580;серый;белый;5;40;840;классика;E14
Люстра Arte lamp A1607PL-3AB - 49061;4060;220;Arte lamp;450;260;бронза;белый;3;60;24;модерн;E27
Люстра ST Luce SL216.403.07 - 59423;23550;220;ST Luce;150;1200;черный;прозрачный;7;3;21;модерн;LED
Люстра Arte lamp A5709PL-5WG - 49356;8790;220;Arte lamp;750;300;белый;белый;5;40;80;классика;E14
Люстра Lightstar 754129 - 50031;9900;220;Lightstar;60;1200;хром;алюминий;12;40;24;хай-тек;G9
Люстра Lightstar 751022 - 50030;53630;220;Lightstar;750;600;золото;белый;12;20;840;модерн;G4
Люстра ST Luce SL314.103.04 - 59433;18370;220;ST Luce;280;470;хром;прозрачный;4;40;160;кантри;E14
Люстра Ideal Lux 138237 - 45412;43610;220;Ideal Lux;750;1200;белый;белый;1;23;80;хай-тек;LED
Люстра Lightstar 803100 - 710;19310;220;Lightstar;500;750;белый;белый;10;40;24;модерн;G9
Люстра Lightstar 751026 - 8503;132380;220;Lightstar;750;600;белый;белый;12;20;840;модерн;G4
Люстра ST Luce SL215.403.07 - 59420;24990;220;ST Luce;340;1200;черный;прозрачный;7;3;80;хай-тек;LED
Люстра ST Luce SL809.503.08 - 59490;32840;220;ST Luce;420;420;хром;белый;8;10;160;модерн;E27
Люстра Kutek MON-ZW-6(P/A) - 37053;166090;220;Kutek;850;700;бронза;белый;6;40;24;классика;E14
Люстра Lightstar 754121 - 42750;10700;220;Lightstar;600;1200;хром;медь;12;40;840;хай-тек;G9
Люстра Kutek OBD-ZW-5(P) - 25742;54560;220;Kutek;560;570;бронза;белый;5;60;160;классика;E27
Люстра Lightstar 803080 - 709;19310;220;Lightstar;340;1150;белый;белый;8;40;80;модерн;G9
Люстра Lightstar 813062 (MD5081A-6JS) - 42147;33210;220;Lightstar;500;1200;матовое золото;белый;6;40;80;модерн;E14
Люстра Kutek SAN-ZW-6(P/A)SWAR 04 - 26809;76520;220;Kutek;650;700;бронза;белый;6;40;80;классика;E14
Люстра Kutek FAR-ZW-6(P) - 47183;212220;220;Kutek;820;700;латунь;белый;8;60;160;классика;E27
Люстра Kutek SAN-ZW-5(Z) - 60765;86690;220;Kutek;690;700;золото;белый;5;60;840;классика;E27
Люстра Kutek OBD-ZW-2(P) - 50023;30090;220;Kutek;850;540;бронза;белый;2;60;24;классика;E27
Люстра Kutek DEC-ZW-6(P) - 26804;124770;220;Kutek;830;680;латунь;белый;6;60;80;классика;E27
Люстра Kutek ESP-ZW-5(C) - 33070;63670;220;Kutek;670;700;хром;белый;5;60;160;классика;E27
Люстра ST Luce SLE120.202.06 - 59587;9250;220;ST Luce;650;400;золото;белый;6;12;72;модерн;LED
Люстра Kutek DEC-ZW-3 (P) - 47181;63470;220;Kutek;620;680;латунь;белый;3;60;80;классика;E27
Люстра ST Luce SLE120.102.03 - 59584;5390;220;ST Luce;500;400;хром;белый;3;12;36;модерн;LED
Люстра Kutek SAN-ZW-10(P/A)SW - 38392;114360;220;Kutek;860;800;бронза;белый;10;40;24;классика;E14
Люстра Kutek DEC-ZW-6(P/A)NEW - 25784;89490;220;Kutek;720;700;латунь;белый;6;40;80;классика;E14
Люстра Kutek FOR-ZW-5+1(P) - 11508;70840;220;Kutek;770;670;бронза;белый;7;60;160;классика;E27
Люстра Kutek DEC-ZW-6(P)SW - 7676;76470;220;Kutek;830;680;латунь;белый;6;60;36;классика;E27
Люстра Kutek DEC-ZW-6(N/A) - 37535;113540;220;Kutek;720;700;никель;белый;6;40;24;классика;E14
Люстра ST Luce SL946.112.06 - 59516;13150;220;ST Luce;800;150;хром;белый;6;8;48;модерн;LED
Люстра Kutek CAS-ZW-5(P/A) - 37051;108320;220;Kutek;630;700;латунь;белый;5;40;80;классика;E14
Люстра Kutek CAS-ZW-8(P/A) - 48786;172510;220;Kutek;700;700;латунь;белый;8;40;36;классика;E14
Люстра Reccagni Angelo L. 7152/10+4 - 30672;257500;220;Reccagni Angelo;1040;700;золото;белый;14;60;840;классика;E27
Люстра ST Luce SLE120.402.06 - 59590;8450;220;ST Luce;650;400;черный;белый;6;12;72;модерн;LED
Люстра Reccagni Angelo L. 6520/50 - 1965;66890;220;Reccagni Angelo;500;600;золото;желтый;3;60;180;классика;E27
Люстра Kutek COC-ZW-6(N/A)NEW - 37715;177700;220;Kutek;750;750;никель;белый;6;40;36;классика;E14
Люстра Reccagni Angelo L. 7152/8+3 - 30671;200630;220;Reccagni Angelo;950;700;золото;белый;11;60;660;классика;E27
Люстра ST Luce SL946.102.03 - 59582;7210;220;ST Luce;350;150;хром;белый;3;8;24;модерн;LED
Люстра Reccagni Angelo L. 7030/6+2 - 30675;188710;220;Reccagni Angelo;760;700;бронза;белый;8;60;480;классика;E14
Люстра Reccagni Angelo L. 7152/6+2 - 30670;147610;220;Reccagni Angelo;750;700;золото;белый;8;60;480;классика;E27
Люстра Reccagni Angelo L. 7002/8+3 - 30656;204520;220;Reccagni Angelo;950;700;бронза;белый;11;60;660;классика;E27
Люстра Reccagni Angelo L. 6503/6+3 - 30604;117360;220;Reccagni Angelo;76;70;бронза;белый;9;60;480;хрусталь;E14, E27
Люстра Reccagni Angelo L. 7154/6+2 - 30640;123030;220;Reccagni Angelo;750;700;золото;бежевый;8;60;480;классика;E27
Люстра Reccagni Angelo L. 6423/6+4 - 30559;119430;220;Reccagni Angelo;88;70;золото;белый;10;60;480;хрусталь;E14, E27
Люстра Reccagni Angelo L. 6503/6+4 - 30603;127740;220;Reccagni Angelo;88;70;бронза;белый;10;60;480;хрусталь;E14, E27
Люстра Reccagni Angelo L. 7154/10+4 - 30642;216790;220;Reccagni Angelo;1040;700;золото;бежевый;14;60;840;классика;E27
Люстра Reccagni Angelo L. 7030/60 - 30242;94210;220;Reccagni Angelo;600;640;бронза;белый;5;60;300;классика;E27
Люстра Reccagni Angelo L. 6423/6+3 - 30560;110290;220;Reccagni Angelo;76;70;бронза;белый;9;60;480;хрусталь;E14, E27
Люстра Reccagni Angelo L. 6500/6+3 - 30609;202030;220;Reccagni Angelo;760;700;золото;белый;9;60;540;классика;E14
Люстра Reccagni Angelo L. 7154/8+3 - 30641;166460;220;Reccagni Angelo;950;700;золото;бежевый;11;60;660;классика;E27
Люстра Reccagni Angelo L. 6500/6+4 - 30608;219600;220;Reccagni Angelo;880;700;золото;белый;10;60;600;классика;E14
Люстра Reccagni Angelo L. 6503/50 - 30199;76410;220;Reccagni Angelo;500;600;золото;белый;3;60;180;классика;E27
Люстра Reccagni Angelo L. 7030/50 - 30241;71640;220;Reccagni Angelo;500;600;бронза;белый;3;60;180;классика;E27
Люстра Reccagni Angelo L. 7002/48 - 30231;87540;220;Reccagni Angelo;480;560;бронза;белый;5;60;300;классика;E27
Люстра Reccagni Angelo L. 6500/50 - 30201;67780;220;Reccagni Angelo;500;600;золото;белый;3;60;180;классика;E27
Люстра Reccagni Angelo L. 6500/60 - 30200;81340;220;Reccagni Angelo;600;640;золото;белый;5;60;300;классика;E27
Люстра Reccagni Angelo L. 6503/60 - 30198;91410;220;Reccagni Angelo;600;640;золото;бежевый;5;60;300;классика;E27
Люстра Reccagni Angelo L. 9630/5 - 49310;69470;220;Reccagni Angelo;600;340;белый;белый;5;60;300;классика;E27
Люстра Citilux CL70362R - 35710;4990;230;Citilux;550;90;золото;белый;60;1;60;модерн;LED
Люстра Reccagni Angelo L. 6423/60 - 30180;87460;220;Reccagni Angelo;600;640;бронза;бежевый;5;60;300;классика;E27
Люстра Reccagni Angelo L. 6520/60 - 30186;80460;220;Reccagni Angelo;600;640;золото;желтый;5;60;300;классика;E27
Люстра Citilux CL70380R - 40126;6290;220;Citilux;590;85;хром;белый;80;1;80;модерн;LED
Люстра Reccagni Angelo L. 9671/3 - 49313;36930;220;Reccagni Angelo;540;300;белый;белый;3;60;180;классика;E27
Люстра Reccagni Angelo L. 6520/6+3 - 1966;195870;220;Reccagni Angelo;760;700;золото;желтый;9;60;540;классика;E14
Люстра Reccagni Angelo L. 6423/50 - 30181;72880;220;Reccagni Angelo;500;600;бронза;бежевый;3;60;180;классика;E27
