Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Lumion 3772/44CL - 109073;4400;220;Lumion;500;120;коричневый;белый;1;44;44;хай-тек;LED
Люстра Chiaro 394012215 - 138593;79770;220;Chiaro;800;660;золото;золото;15;40;600;кантри;G9
Люстра ST Luce SL906.203.06 - 33638;9900;220;ST Luce;375;150;золото;золото;1;62;62;хай-тек;LED
Люстра Arte lamp A1435PL-1WH - 151431;5690;220;Arte lamp;410;65;белый;прозрачный;1;60;60;хай-тек;LED
Люстра Lumion 5209/5C - 237010;3000;220;Lumion;600;230;хром;прозрачный;5;40;200;минимализм;E14
Люстра Odeon Light  4983/8 - 208277;19200;220;Odeon Light;500;1220;бронза;прозрачный;8;40;320;классика;E14
Люстра Lightstar 815380 - 243229;34000;220;Lightstar;600;300;черный;белый;8;40;320;арт-деко;E14
Люстра Lumion 5264/84CL - 242111;6400;220;Lumion;550;75;белый;белый;1;1;84;минимализм;LED
Люстра Lumion 4528/8C - 165754;3500;220;Lumion;580;240;бронза;белый;8;60;480;хай-тек;E27
Люстра Lightstar 691084 - 86727;38000;220;Lightstar;740;1820;хром;бежевый;8;40;320;минимализм;E14
Люстра Chiaro 109010208 - 100952;148880;220;Chiaro;800;850;черный;бронза;8;40;320;этно;E14
Люстра Odeon Light  4983/12 - 208275;30560;220;Odeon Light;700;1260;бронза;прозрачный;12;40;480;классика;E14
Люстра De Markt 722010803 - 116880;33830;230;De Markt;740;300;хром;белый;3;30;90;модерн;LED
Люстра Lightstar 711127 - 86821;19000;220;Lightstar;1050;450;черный;прозрачный;12;40;480;хай-тек;G9
Люстра Lumion 5264/50CL - 242112;4600;220;Lumion;460;75;белый;белый;1;1;50;минимализм;LED
Люстра ST Luce SL933.702.04 - 112332;7700;220;ST Luce;700;120;коричневый;белый;1;22;22;современный;LED
Люстра Sfera Sveta 2369/1L BLACK - 94689;1290;220;Sfera Sveta;350;1000;черный;черный;1;30;60;модерн;E27
Люстра Lumion 3772/57CL - 109074;6400;220;Lumion;650;120;коричневый;белый;1;57;57;хай-тек;LED
Люстра Arte lamp A1439PL-60CC - 206001;11090;220;Arte lamp;580;120;хром;белый;1;60;60;минимализм;LED
Люстра Vitaluce V4868-8/6PL - 151002;12350;220;Vitaluce;760;340;медь;коньячный;6;40;240;арт-деко;E14
Люстра Toplight TL1174H-01PK - 113773;2290;230;Toplight;260;360;черный;медь;1;40;40;лофт;E27
Люстра Sfera Sveta 58018/6 WHITE - 110035;3990;220;Sfera Sveta;760;115;белый;белый;1;40;240;хай-тек;LED
Люстра Lightstar 815480 - 243235;34000;220;Lightstar;650;600;черный;белый;8;40;320;арт-деко;E14
Люстра Lumion 4563/4C - 199317;3600;220;Lumion;740;440;черный;бежевый;4;40;160;модерн;E14
